"Stkcd","Stknme","Annctime","Type","Suspdate","Resmdate","Timeperd"
"000693","华泽退","2019-07-09","2","2019-07-09","","-8888.00"
"000695","滨海能源","2017-10-09","1","2017-10-09","2018-01-15","276.00"
"000697","炼石有色","2016-11-17","1","2016-11-17","2017-04-27","428.00"
"000700","模塑科技","2017-06-28","1","2017-06-28","2017-08-16","140.00"
"000700","模塑科技","2017-11-16","1","2017-11-16","2017-11-23","20.00"
"000703","恒逸石化","2018-01-05","1","2018-01-05","2018-04-03","228.00"
"000703","恒逸石化","2018-10-25","1","2018-10-25","2018-11-02","24.00"
"000708","大冶特钢","2018-12-25","1","2018-12-25","2019-01-03","20.00"
"000708","大冶特钢","2019-07-26","1","2019-07-26","2019-07-29","4.00"
"000710","天兴仪表","2016-06-15","1","2016-06-15","2016-12-19","504.00"
"000710","天兴仪表","2016-12-29","1","2016-12-29","2017-01-04","12.00"
"000710","天兴仪表","2017-02-28","1","2017-02-28","2017-03-01","4.00"
"000710","*ST 天仪","2017-04-12","1","2017-04-12","2017-04-17","12.00"
"000710","*ST 天仪","2017-04-20","1","2017-04-20","2017-04-27","20.00"
"000710","*ST 天仪","2017-08-25","1","2017-08-25","2017-08-28","4.00"
